"matricula","sumSessions","Prova"
"5D73E08B",4630,"Prova3"
"5DEBE97D",111,"Prova3"
"5EA91E42",2423,"Prova3"
"619B5433",2297,"Prova3"
"63116A24",3902,"Prova3"
"64B26A18",0,"Prova3"
"673B031F",1843,"Prova3"
"67657F86",4031,"Prova3"
"68151142",2462,"Prova3"
"6878BF80",33,"Prova3"
"68FA8B73",0,"Prova3"
"69DEEC46",10540,"Prova3"
"6A197CF",2086,"Prova3"
"6BA5CF35",0,"Prova3"
"6C643AAF",1864,"Prova3"
"70F93A3B",0,"Prova3"
"71F3C736",6138,"Prova3"
"7365085E",4157,"Prova3"
"740BC298",0,"Prova3"
"74E3795C",1797,"Prova3"
"77089DA4",7051,"Prova3"
"77A35CA",32,"Prova3"
"792B1580",0,"Prova3"
"79CBE190",6369,"Prova3"
"79D7BD5B",7296,"Prova3"
"7BA159DE",569,"Prova3"
"7BCB919D",2740,"Prova3"
"7BF33A4A",2910,"Prova3"
"7C52AF6D",3209,"Prova3"
"7DCD514D",1350,"Prova3"
"8CAB3DB",4602,"Prova3"
"ADBC154",0,"Prova3"
"B30252C",4502,"Prova3"
"B5D2F64",2262,"Prova3"
"E3A19A",3532,"Prova3"
"F952D04",0,"Prova3"
