"matricula","sumSessions","Prova"
"390C0CCC",935,"Prova3"
"3A1B84F4",16774,"Prova3"
"3BC456D5",0,"Prova3"
"3FE45559",152,"Prova3"
"4195063D",18,"Prova3"
"445E679D",290,"Prova3"
"4482494C",82,"Prova3"
"44AF14C1",27528,"Prova3"
"46484C5E",21570,"Prova3"
"48295835",2915,"Prova3"
"4AD45AC5",0,"Prova3"
"4B929F6",7937,"Prova3"
"4C84103A",286,"Prova3"
"4D98EE47",4181,"Prova3"
"51FE3830",13561,"Prova3"
"55BA642E",91,"Prova3"
"562A867F",8516,"Prova3"
"5978A120",81,"Prova3"
"5B8F96B8",8758,"Prova3"
"5CD8B4FE",1799,"Prova3"
"5D73E08B",4249,"Prova3"
"5EA91E42",8895,"Prova3"
"60BAF986",0,"Prova3"
"619B5433",1371,"Prova3"
"63116A24",5971,"Prova3"
"64B26A18",2202,"Prova3"
"673B031F",35040,"Prova3"
"67657F86",16207,"Prova3"
"68151142",12875,"Prova3"
"6878BF80",40,"Prova3"
"68FA8B73",456,"Prova3"
"69DEEC46",7843,"Prova3"
"6A197CF",16671,"Prova3"
"6BA5CF35",41029,"Prova3"
"6C643AAF",1999,"Prova3"
"70F93A3B",6942,"Prova3"
"71F3C736",2594,"Prova3"
"7365085E",2674,"Prova3"
"740BC298",33915,"Prova3"
"74E3795C",1707,"Prova3"
"77089DA4",4965,"Prova3"
"77A35CA",1576,"Prova3"
"792B1580",775,"Prova3"
"79CBE190",3304,"Prova3"
"79D7BD5B",2421,"Prova3"
"7BCB919D",1582,"Prova3"
"7BF33A4A",7788,"Prova3"
"7C52AF6D",1793,"Prova3"
"7DCD514D",15195,"Prova3"
"8CAB3DB",40,"Prova3"
"ADBC154",2389,"Prova3"
"B5D2F64",167,"Prova3"
"E3A19A",12856,"Prova3"
"F952D04",159,"Prova3"
